STATUS,ISOTYPE,CDR3_AA_LENGTH,CDR3_AA_GRAVY,CDR3_AA_BASIC,CDR3_AA_ACIDIC,CDR3_AA_AROMATIC,CDR3_AA_ALIPHATIC,CDR3_AA_POLARITY
SLE,IgM,15,0.3133333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,1.04,8.053333333333333
SLE,IgM,15,-1.1466666666666667,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.52,8.879999999999999
SLE,IgM,15,-1.26,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.3266666666666667,8.926666666666668
SLE,IgM,15,-0.5533333333333333,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.4533333333333333,7.8533333333333335
SLE,IgM,15,-1.1533333333333333,0.2,0.2,0.13333333333333333,0.52,8.9
SLE,IgM,15,-0.52,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.52,7.926666666666667
SLE,IgM,15,-0.84,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.3266666666666667,8.28
SLE,IgM,15,0.38,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.7200000000000001,8.286666666666667
SLE,IgM,15,-0.6866666666666668,0.06666666666666667,0.2,0.13333333333333333,0.52,8.633333333333333
SLE,IgM,15,-0.7733333333333333,0.06666666666666667,0.13333333333333333,0.2,0.3266666666666667,8.686666666666667
SLE,IgM,15,-1.0133333333333332,0.06666666666666667,0.2,0.3333333333333333,0.26,8.413333333333334
SLE,IgM,15,-1.0133333333333334,0.13333333333333333,0.2,0.26666666666666666,0.3266666666666667,8.833333333333334
HC,IgM,14,-0.65,0.14285714285714285,0.07142857142857142,0.35714285714285715,0.35000000000000003,8.035714285714286
SLE,IgM,15,-0.9800000000000001,0.13333333333333333,0.2,0.3333333333333333,0.52,8.26
SLE,IgG,15,-0.62,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.52,8.246666666666666
SLE,IgM,15,-0.6066666666666667,0,0.13333333333333333,0.26666666666666666,0.3266666666666667,8.246666666666666
SLE,IgM,15,-0.43333333333333335,0.13333333333333333,0.2,0.2,0.7133333333333333,8.666666666666666
SLE,IgM,15,-0.6266666666666667,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.26,8.006666666666666
SLE,IgM,15,-0.29333333333333333,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.5866666666666667,7.866666666666666
SLE,IgM,15,-0.07333333333333338,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.04,7.953333333333333
SLE,IgM,15,-1.3266666666666667,0.2,0.13333333333333333,0.3333333333333333,0.26,8.413333333333334
SLE,IgM,15,0.05999999999999998,0,0.06666666666666667,0.4,0.3266666666666667,7.493333333333334
SLE,IgM,15,-1.1400000000000001,0.13333333333333333,0.2,0.3333333333333333,0.39333333333333337,8.406666666666666
SLE,IgM,15,-0.8133333333333332,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.26,8.246666666666666
SLE,IgM,15,-1.16,0.13333333333333333,0.13333333333333333,0.2,0.26,8.553333333333335
SLE,IgM,15,-0.32,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.52,7.92
HC,IgM,15,-0.84,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.4533333333333333,8.46
HC,IgM,15,-0.0466666666666667,0,0.06666666666666667,0.26666666666666666,0.26,7.819999999999999
HC,IgM,15,-0.9666666666666667,0.2,0.2,0.13333333333333333,0.52,9.046666666666665
HC,IgM,15,-0.4866666666666667,0.2,0.06666666666666667,0.26666666666666666,0.5866666666666667,8.18
SLE,IgM,15,-0.2266666666666667,0.2,0.13333333333333333,0.2,0.7799999999999999,8.266666666666667
SLE,IgG,15,0.16666666666666663,0.13333333333333333,0.06666666666666667,0.2,0.7799999999999999,7.8933333333333335
SLE,IgD,15,-0.34,0.13333333333333333,0.13333333333333333,0.2,0.5866666666666667,8.78
SLE,IgG,15,-0.22666666666666663,0.13333333333333333,0.2,0.06666666666666667,0.7799999999999999,8.786666666666667
SLE,IgM,15,0.15333333333333335,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.9066666666666666,7.566666666666666
SLE,IgG,15,0.08666666666666666,0.06666666666666667,0.13333333333333333,0.2,0.4533333333333333,7.96
SLE,IgG,15,-0.29333333333333333,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.7133333333333333,8.18
HC,IgM,15,-0.9333333333333333,0.13333333333333333,0.13333333333333333,0.5333333333333333,0.26,7.986666666666666
SLE,IgD,14,0.03571428571428569,0,0.07142857142857142,0.2857142857142857,0.4857142857142857,7.478571428571429
SLE,IgG,15,-1.52,0.3333333333333333,0.13333333333333333,0.2,0.52,9.393333333333334
HC,IgG,15,-0.6666666666666666,0.13333333333333333,0.2,0,0.4533333333333333,9.34
SLE,IgG,15,-0.6,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.5866666666666667,8.12
SLE,IgM,15,-0.6866666666666668,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.4533333333333333,8.293333333333333
SLE,IgM,15,-0.7133333333333333,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.4533333333333333,8.306666666666667
SLE,IgA,15,-0.9066666666666666,0.2,0.13333333333333333,0.26666666666666666,0.52,8.860000000000001
SLE,IgG,15,-0.92,0.06666666666666667,0.13333333333333333,0.4,0.26,7.873333333333333
SLE,IgA,15,-0.2333333333333334,0.26666666666666666,0,0.26666666666666666,0.6533333333333334,7.973333333333333
SLE,IgG,15,-0.11333333333333334,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.39333333333333337,8.18
SLE,IgD,15,-1.3333333333333333,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.4533333333333333,9.366666666666667
SLE,IgG,14,0.6714285714285715,0,0.07142857142857142,0.14285714285714285,0.7642857142857142,8.214285714285714
SLE,IgD,14,0.028571428571428525,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.7642857142857142,8
SLE,IgM,15,-0.48000000000000004,0.13333333333333333,0.2,0.13333333333333333,0.7133333333333333,8.726666666666667
SLE,IgG,15,-0.22666666666666663,0.13333333333333333,0.2,0.06666666666666667,0.7799999999999999,8.786666666666667
SLE,IgD,15,-0.9866666666666667,0.06666666666666667,0.2,0.3333333333333333,0.26,8.393333333333334
SLE,IgM,15,-0.9733333333333333,0.2,0.06666666666666667,0.13333333333333333,0.26,8.76
SLE,IgD,15,-0.22,0.2,0.06666666666666667,0,0.7200000000000001,8.873333333333333
SLE,IgA,15,-0.16,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.5866666666666667,8.28
HC,IgM,15,1.1733333333333333,0.06666666666666667,0.06666666666666667,0,1.1666666666666667,7.86
SLE,IgM,15,-1.0866666666666667,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.13333333333333333,9.173333333333334
HC,IgM,15,-0.9466666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.3266666666666667,8.906666666666666
SLE,IgM,15,-0.19333333333333333,0.06666666666666667,0.2,0.13333333333333333,0.8466666666666666,8.513333333333334
SLE,IgG,15,1.3133333333333332,0.06666666666666667,0,0.06666666666666667,1.1733333333333333,7.62
SLE,IgA,14,-0.5785714285714285,0,0.14285714285714285,0.14285714285714285,0.2785714285714286,8.77142857142857
SLE,IgM,15,0.56,0.06666666666666667,0.2,0.13333333333333333,1.1733333333333333,8.32
SLE,IgA,15,0.5066666666666666,0.13333333333333333,0.13333333333333333,0.06666666666666667,1.1733333333333333,8.28
